	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
FCRLB	0.19569719	0.347713304	6.331932277	0.23967761	24.64054456
FAM163A	0.104622987	0.013470532	0.006261851	0.025885991	0.017019699
HTR1D	1.234569699	0.186598941	0.841714289	0.43826763	0.06403449
PDCD1LG2	2.094762578	3.131548395	0.585367915	1.273612641	0.355888017
CHST11	5.813183211	5.08835651	3.599934614	4.920982884	1.632040195
CHST10	5.268044481	1.3798424	4.31136622	4.178801984	1.827993525
CHST13	0.378048903	0.208085459	0.325826276	0.084183731	0.359773027
SLC20A1	20.8677419	13.68375502	13.21840419	24.09148527	7.637684138
CHST15	16.74054793	13.37482215	16.77325328	8.99629814	25.03465758
CHST14	8.198649985	7.768081529	12.9304127	7.469133227	8.676539849
ROCK1	15.37084686	10.01780294	6.050505273	12.49253965	4.28844669
ROCK2	7.651623157	10.83257892	2.79385594	3.852333001	4.546781609
IGSF11-AS1	0	0	0	0	0
LOC101927513	0	0	0	0	0.011721189
AGER	2.670150119	1.028225747	0.254336077	1.749320299	2.463199179
PRKX-AS1	0.065535803	0.037970715	0.035301793	0	0
PNMA6A	0.176047739	0.221739348	0.098953691	0.153399983	0.059767984
IBA57-AS1	0.131889526	0.519624195	0.142088341	0.293690902	0.180224714
LRRC9	0.015903158	0.01474258	0	0.141652271	0.031044835
LRRC4	0.230414531	0.514580329	0.356551609	2.574758162	0.519310253
WNK3	0.129700564	0.104181155	0.026993317	0.095178176	0.886167682
LRRC6	4.832663905	1.974805203	1.796655408	2.053330747	4.693201315
VSX2	0	0.013083732	0	0	0.011020657
LRRC1	17.477945	3.240808639	8.882816404	11.97502615	6.976130163
LRRC2	0.120300514	0.585486537	0.035640871	0.063622581	0.055774681
LRRC3	1.117804742	0.691042422	0.481076404	0.927005384	0.992624361
HAND2-AS1	0.09633343	0.269105706	0.02223916	0.034475589	0.033581106
RFNG	8.338188895	10.28056363	13.07384784	5.182516017	20.24392832
KLHL6-AS1	0	0	0	0	0
MORN5	1.012935868	0.045144905	0.020985859	0	0
MORN4	3.412609974	1.801734596	1.957900407	3.304969666	5.367558115
PLD6	1.162441307	1.798565961	1.423103536	2.154647245	4.557784449
MORN1	1.272181911	0.594509459	0.34384451	0.833593067	1.03501296
PLD1	1.016413978	2.159042179	0.645957751	0.440664254	0.372190373
PLD2	10.04186018	5.491460232	8.545142805	9.778675329	10.20322812
MORN2	9.879666451	7.5125226	17.21412747	9.178163676	4.186355085
ST20	2.189480528	0.388458761	1.365615091	1.597958735	2.57674442
TREML3P	0.08644293	0.1402354	0.018625486	0.15399253	0.016874677
RRP1	7.242978104	6.033190167	6.478987673	5.287638367	10.42771702
DOCK8	3.454265519	3.822205303	4.720441863	2.747901969	1.174540717
DOCK9	9.598107248	7.960796541	3.895252258	7.987880773	11.37665943
GOLGA6L10	0.23667946	0.10804138	0.015453425	0.091832131	0.003500198
RRP8	2.909232952	2.207808905	3.084199655	3.622606426	3.888630694
GRIA3	0.083445958	0.287064225	0.106754713	0.40066795	0.030543062
DOCK1	19.64943997	15.11939574	14.48398494	24.53892818	17.44191278
DOCK6	4.968451844	4.487378143	3.641680177	3.892286593	5.266234667
DOCK7	6.234555154	4.35437316	4.652558906	6.581988055	3.56370426
GRIA4	0.132475527	0.019431606	0.054197338	0.028005931	0.070380609
DOCK5	3.058526363	2.727781882	3.782388065	4.037592969	2.786764158
ACSBG1	0.032871421	0.03094867	0.024346656	0.004574869	0.034089719
ACSBG2	0.166776926	0.051156368	0.068698703	0.070998732	0.210661769
HOTAIRM1	0.757253938	1.218007123	0.292230887	0.604029525	0.827378066
TNFRSF12A	15.77370179	23.54751405	15.86976065	19.98690552	8.207065099
SCNN1G	8.581882576	1.039143801	0.857027279	0.161040093	2.621161396
SCNN1D	1.705526534	1.343512373	0.642641736	0.425621964	1.820503085
SCNN1B	5.122531277	3.050449757	1.943382634	0.307513415	1.777552159
SCNN1A	20.7468329	19.52286653	78.50803988	16.60855041	5.010573033
FAM98C	3.842781179	2.799592849	3.521918173	2.300996044	32.16339202
FAM98B	6.468616212	5.968524137	8.011090384	11.39262634	5.497129984
FAM98A	8.400861598	9.356490268	9.106011817	12.38716729	5.764967263
CLEC9A	0.154034396	0.123571127	0.038295148	0.026384845	0.057825629
LOC286059	0.051314832	0.014865621	0.006910366	0.01428345	0.093911805
SCUBE2	57.86289819	2.991786368	219.8665495	6.969100189	34.14134935
SCUBE3	1.123997823	0.226399612	4.355826637	52.59699034	0.078523682
SCUBE1	0.188101526	0.571560167	0.031522887	0.035680964	8.285036914
RPSAP52	0.04154358	0.086651597	0.116365812	0.092509026	0.024329387
ZNF750	0.55556287	0.137197713	0.534746581	2.36777513	3.142453054
SMIM13	3.458830943	4.07906558	3.465961377	3.373185357	2.020685026
SMIM12	3.366601175	3.598446757	4.754864882	2.966583022	3.116703487
RPP38	8.454118594	5.827107851	4.719099809	7.120558756	7.15718895
SMIM10	1.651195038	4.171142336	0.960594887	1.18885542	1.07444235
SMIM17	0.267137576	0.254926062	0.135432902	0.24494258	0.935603629
SMIM15	28.36767935	23.7094978	23.03289872	30.13136504	24.58092026
SMIM14	36.45799335	43.44776286	29.0947494	78.34144303	46.32306082
RPP30	5.614276049	4.796110103	4.404188894	5.101883735	4.664091202
SMIM18	0.159344644	0	0.038148116	0.019712656	0.034562166
CHIAP2	0	0	0	0	0
BCORL1	4.449090926	3.61424599	1.268904324	5.777637585	3.364256907
HACE1	1.09817518	1.204672096	0.981969169	2.30276176	1.445256388
NT5DC4	0.024011698	0.023186851	0.017245657	0.035646082	0.019530692
NT5DC2	9.380327391	8.42008443	5.790122462	6.622266194	11.15267061
NT5DC3	1.638094522	2.046448254	2.378779073	1.426704071	1.371817245
NT5DC1	5.170325642	5.803612558	6.22061161	8.363207073	7.019999706
RUSC2	6.436557029	5.130978263	5.007561222	4.797509637	3.729392801
RUSC1	12.11024838	14.53491251	23.58276869	21.00057173	11.33983918
PPIH	18.55924927	12.67296268	21.40726162	12.09843809	9.931776023
PPIG	16.32764761	12.51679254	12.56657594	16.72278311	8.901282396
PPIF	35.54270801	25.55721617	20.96783933	15.91797003	97.14437509
PPIE	4.233867842	3.456854616	3.631408989	4.282465302	3.551786113
PPID	12.31895479	11.16693142	13.56196684	15.90683305	17.8321287
PPIC	37.2980561	25.56974712	45.57404286	40.020075	11.40609153
PPIB	66.11111893	99.44083107	225.0418931	107.4368656	63.69928459
PPIA	71.98971925	62.52748618	115.7347942	71.72157806	61.07983665
DCPS	4.454049355	2.887496137	4.140925612	3.875195384	2.634050554
PTHLH	0.625860127	0.585988086	0.226550329	0.947690188	0.47404002
THEMIS2	5.016488462	3.663331724	2.152301665	1.747711915	1.407131182
LLPH	3.450185769	2.571367486	3.359186668	2.699127052	4.899618424
DCP2	6.699746682	5.772922306	4.819817568	5.244149005	3.356743184
LZIC	10.74768405	11.92122796	8.534139002	11.50153069	7.649229661
NAA50	26.2792257	26.24460753	31.41335219	31.24532609	19.47282187
CFDP1	10.71993452	12.94182071	10.71965502	8.626738622	12.59773776
ATF6B	38.57018368	33.13125371	42.0902701	49.04939787	46.21863486
FAM193A	9.04018318	6.572217791	6.452509095	10.53793783	8.350620241
OR6M1	0	0	0	0	0
TPPP3	9.778102025	5.852421321	1.572480485	10.62085247	8.226501917
TPPP2	0.020494833	0.015832637	0.007359889	0.015212595	0.006668054
FAM193B	13.9338557	4.749688921	2.846599382	4.46313017	8.834626289
PIP	51.70741253	19.12399912	43.93570658	5.148878454	11.05871166
MIR3118-4	0	0	0	0	0
PIR	1.352928214	6.793553391	4.836739153	4.354166385	1.373096262
MIR3118-1	0	0	0	0	0
MIR3118-3	0	0	0	0	0
MIR3118-2	0	0	0	0	0
PI3	0.087911112	0.373521276	0.094709143	0.130506668	0.02860214
ANKRD52	11.63447749	8.843456938	9.981473946	17.30587961	11.88359552
PTGES3L	0.343374565	0.1989474	0.644183562	0.125240249	0.803213374
ANKRD50	23.93378855	7.695455743	5.480874352	19.61551652	10.89782171
ANKRD55	0.022703239	0.085501025	0.140638362	0.006319432	0.033239546
KBTBD7	4.45385969	3.977348143	3.309151611	9.774670992	5.602243185
KBTBD6	3.578877551	3.946578406	2.726378347	6.933254948	4.092392795
KBTBD4	5.402238108	2.492130007	3.663004717	5.410503307	6.527403226
KBTBD3	0.941049459	0.763682213	0.891632672	0.795206986	0.975366143
KBTBD2	14.80615035	11.36599703	9.82560677	15.25072606	13.29342217
AMN	0.032753796	0.037954369	0.003920733	0.008103998	0.142087254
KBTBD8	0.439128626	0.695018014	0.188465063	0.274274808	0.400737958
AMT	2.428172628	0.859148817	0.323497862	0.371476171	1.161500213
RASL11B	5.383002697	4.826888859	2.895946614	1.165175885	5.427707219
RASL11A	1.936534555	6.237391314	3.398623618	1.159211013	2.022280459
GLRB	1.657095232	2.730203061	8.410093451	3.412443757	3.735816482
PHAX	12.60190218	10.11626348	13.00279717	12.60996128	15.90733915
RBM26	7.548737784	7.394273375	3.635226737	8.546094801	6.084846625
RBM27	6.253837196	4.384422662	4.901464536	7.177648498	4.531043281
RBM24	1.24700704	5.296451639	2.031021632	0.054661983	0.757126205
RBM25	14.25487439	10.45482757	6.101092904	16.35551238	10.80050216
RBM22	23.54524647	12.74757244	14.92530518	17.11748381	16.27973649
RBM23	6.542867992	5.252436805	3.061935847	7.886285633	12.38287223
RBM20	0.710551992	0.247251598	0.247726722	0.039210362	0.070769445
FMO9P	0.127939668	0.109239523	0.050780596	0	0.02628982
RBM28	2.567247156	2.429044007	2.237643296	2.470368828	1.644518463
LOC107985126	0	0	0.007123866	0.014724745	0.019362653
MIR1258	0	0	0	0	0
EPHA8	0.009467098	0.003656754	0.010199174	0.010540642	0.046202224
EPHA7	0.047622449	0.055183834	0.004886192	0.068172055	0.019920991
EPHA6	0.013438434	0.021801021	0.18241785	0.002992463	0.026233404
EPHA5	0.00515862	0.019925647	0.012967566	0.003829063	0.003356745
EPHA4	0.816985249	1.618475323	0.636609938	0.443600008	0.583322347
EPHA3	0.260945225	1.376845195	0.204701737	0.394902931	0.205241993
MIR1250	0	0	0	0	0
MIR1253	0	0	0	0	0
MIR1252	0	0	0.280241927	0	0
LSMEM1	0.273976066	0.430862137	0.140553436	0.566510715	0.254682631
LSMEM2	0.022634856	0.065571917	0.243851744	0	0.044185902
SNORD121B	0.208743669	0	0.224885497	0	0
SNORD121A	0	0	0.222142991	1.147901637	0.402522793
ZGLP1	0.521644504	0.137013208	0.172341292	0.433662223	0.319070926
COL9A2	8.382835975	1.161130002	2.847989809	7.170140402	6.977481942
COL9A3	0.374494179	0.429899857	0.591982792	0.035071472	0.133229962
COL9A1	0.023952737	0.038858258	0.002580497	0	0.016365497
FAM225A	0.293815269	0.131689908	0.047778952	0.135791118	0.489692073
FAM225B	0.107288666	0.116388161	0.019674065	0.08895579	0.129229
LIMD2	2.750929212	4.034194379	0.760108241	1.737746478	1.321665987
GLB1L2	2.234302771	1.657859819	0.037532401	1.41967681	0.875044741
GLB1L3	0.022682934	0.008761493	0.020364142	0.010522966	0.033209818
MIR125A	0	0	0	0	0
ARL9	0.309133112	0.202470234	0.173758906	0.389082081	5.050733133
ARL1	24.98371179	25.01546373	48.84843618	27.54078622	44.90962723
ARL3	10.90414152	9.67921326	12.76617166	8.830003405	20.75809204
ARL2	8.892239903	10.42635012	9.588603942	5.112899307	8.988194891
ARL6	3.275456828	1.923759976	1.530733215	3.497013037	1.40874076
DHFR2	3.465843854	2.342399451	3.772950178	2.379967945	4.342822643
RRM2	18.64512775	20.8859008	25.46525306	17.84536457	3.920190192
RRM1	28.3598539	16.67529796	52.52338881	42.82066092	31.24866254
ZC3H12B	0.276440715	0.365380222	0.107028147	0.12744362	0.21501473
ZC3H12C	0.478420128	1.68532308	0.21928592	0.399019538	0.334517604
ZC3H12D	0.263681109	0.369567336	0.073046871	0.123024777	0.105398438
TSR1	7.046877573	7.639283231	10.37754303	10.48393367	9.601457112
TSR3	31.73525129	38.47646137	21.67422177	19.14363779	53.08184322
TSR2	31.28134103	28.6996226	24.08180628	32.63183535	60.35480282
RAD51-AS1	4.147303461	2.322034577	0.923674748	2.453098286	3.327933136
TH	0.010427528	0	0.061786302	0.22058967	0.580139233
TF	0.503397605	11.04201682	0.068056417	0.314309273	1.063618896
TG	0.065312091	0.054561584	0.058908202	0.103158534	0.041510615
MLXIPL	0.393296483	9.070103648	0.018915603	0.281504102	0.79518106
TXNL1	7.062309372	6.267365906	6.603966249	9.489442123	4.756167704
LOC100509620	0.064782518	0.638082584	0.052344038	0.162289542	0.094847325
TAPBPL	14.11318041	7.934259536	9.896372697	7.901077542	8.18441968
CYP4A11	0.030426134	0.050367323	0	0	0.050910338
SRSF11	20.32660262	16.39253965	13.03887333	23.86914664	12.62542929
SRSF10	12.98596051	8.706891409	8.304045233	11.57708562	8.644350287
SRSF12	0.115249638	0.159396852	0.03604695	0.070368289	0.047173406
LOC102725072	0.006597049	0	0	0	0.025756433
SLMAP	7.809318003	4.427685403	5.939714473	3.950884806	5.645021526
ZPBP	0.031986828	0.01482625	0	0	0
LOC101927752	6.446105554	5.913436172	14.39896589	7.148596519	20.33592647
LOC101927751	0.194175869	0.271161888	0.056320705	0.900812092	0.080184532
LOC101927755	0.25318839	0.889335616	0.588153974	0.09690288	0.278017614
ZFYVE21	6.855997963	5.249679851	4.26191522	6.881772928	15.27010274
LOC100507564	0.400872685	0.663603345	1.619518334	0.270986432	0.447171807
SULT1E1	0.044031868	0.008503858	0.015812262	0	0.007162949
SLC17A8	0.106863859	0.00458635	0.260102819	0.017626954	0
ZFYVE26	3.722697326	4.028106318	1.806959121	3.696556083	4.161059506
PIDD1	4.932169376	1.849456531	2.560567958	2.357608849	5.770156345
BBOX1	0.494071866	0.500954542	0.510099449	0.695263151	0.180841206
RASA4B	0.010480312	0.008096235	0.00376358	0.003889584	0.027278404
CRYBA2	0.034886322	0.053900657	0.012528009	0	0
CRYBA1	0	0.074028547	0.045883439	0.023709807	0.041570364
CRYBA4	0.145940395	0.072476777	0.02246082	0.208915267	0.040698975
RWDD2A	1.314181897	2.213619645	1.49851586	3.333697671	2.732940542
RWDD2B	5.314017402	4.357181449	6.16490967	5.478550753	4.666655999
LINC00524	0.040450328	0	0	0	0.078963801
LINC00525	0.014232523	0.049476992	0.030666204	0.206003896	0.02778356
LINC00523	0	0	0	0	0
LINC00521	0	0	0	0	0
LINC00528	0.133074089	0.208627982	0.016866412	0.069724396	0.076404789
ARL13B	5.108290243	3.711989278	3.477388092	4.586300889	3.754392296
ARL13A	0.264363318	0.16593326	0.189870752	0.085849582	0.096762808
TICRR	1.982220142	0.860482737	2.560434603	1.371251982	0.775869629
MC3R	0	0	0	0	0
MIR2052HG	0.04072872	0	3.096547929	0	0.460006261
MIR548AA1	1.220182065	0	0.375581964	0.38815643	1.5312465
UBALD2	14.32072176	11.78626197	11.61670626	15.93417785	38.11310693
GFM1	10.37857252	8.687945031	13.42784531	10.20691971	10.69288072
GFM2	12.1866613	5.886736416	14.44411096	9.61688306	13.29869323
RIPPLY1	0	0.049393837	0	0.126558567	0.027736865
RIPPLY3	9.90870821	1.089901963	7.988526345	2.021376078	5.351695878
RIPPLY2	0	0.051089671	0	0	0
C16orf54	1.55019428	2.349630761	1.247266295	0.378696525	0.657583657
SLC4A5	0.257047344	0.139164444	0.08852502	0.140752051	0.368113991
SLC4A4	0.402432628	0.813148236	0.063180963	0.072051044	0.039477179
SLC4A7	9.633967507	4.128035841	4.283044387	4.099498634	1.879290846
SLC4A1	0.006396156	0.007411723	0	0.003560731	0.021850585
SLC4A3	2.832984938	0.631159646	3.091413598	5.003146534	1.530076818
SLC4A2	12.48179881	15.13479669	20.12369649	7.413659959	15.209687
DCTN2	32.1444955	22.05071143	32.63884754	40.63773229	36.06335046
DCTN3	11.01747969	7.559502271	9.828698819	10.41447572	22.09871657
DCTN1	20.59471557	13.70882839	15.19343997	21.30524792	15.73193569
SLC4A9	0.013954529	0.010780131	0.045100833	0.005178979	0.004540147
SLC4A8	5.646109904	0.349795178	1.821572526	5.86545815	1.455753455
DCTN4	20.58394092	15.50149545	13.0039329	20.56234038	19.1935689
DCTN5	7.286202681	9.616509692	6.206786764	9.856096098	9.117046467
RPS4Y2	0	0	0	0	0
KCMF1	8.358627796	7.730929002	5.845583522	10.58702995	4.366119468
RPS4Y1	0	0.129183882	0.096082946	0	0
AP5B1	3.950292787	4.145824312	2.623882271	3.310423295	3.193659845
KNTC1	6.74239286	2.951476224	4.526185509	3.123468229	3.513446408
BROX	23.60702272	21.16268046	24.28031813	20.92361912	19.75109831
PLCL1	4.093595425	1.694480459	0.34326401	2.128538835	0.846488404
MXRA5	55.20169094	81.93880931	23.49090109	45.39440497	15.74339682
MXRA7	4.931645285	5.380266096	10.44693588	4.701820978	14.01998584
MXRA8	57.39090778	45.17940558	24.43683298	21.91294151	13.74678682
HHATL	0.035091464	0.047440409	0	0.006511791	0.022834223
IGSF8	24.6904621	45.2480834	39.79067764	33.16992868	95.87527649
IGSF9	19.56896311	2.985639357	4.740815643	15.91426722	0.587629834
IGSF5	0.912406761	0.096116058	0.109981737	0.312575782	0.068504822
IGSF6	4.083444598	4.615312417	3.145977466	4.136085899	1.770895151
IGSF1	0.037199114	0.198285322	2.992316265	0.011044639	0.852040033
IGSF3	32.2444653	10.32068654	13.70610247	11.62098388	13.73799412
MOB1A	29.3189883	25.52856051	18.36846582	26.66568373	18.58430232
MOB1B	3.392790237	4.062836269	4.050468622	6.284464738	3.845988428
CLDN10-AS1	0	0	0	0	0
DEFA9P	0	0	0	0	0
LOC105369779	2.413788538	3.150069435	1.994514617	8.166886603	5.85568847
ILVBL	10.13891979	12.24424696	9.962687851	10.77903147	70.04333882
ITGB1	95.07261832	84.43423568	52.86833188	107.2723342	58.2987736
ITGB3	1.165952633	1.038949268	1.152474197	0.694070339	0.375590225
ITGB2	21.55259188	13.53370793	9.291440266	8.015484529	4.43604161
ITGB5	49.37142315	49.98055665	95.56827848	63.59877177	31.28152157
ITGB4	17.74352061	19.21615818	39.28464577	25.27991466	6.300157438
ITGB7	0.769756837	0.852625153	0.162604109	0.579765897	0.206246894
SLC37A3	5.838356173	3.551072303	1.328158283	6.066575588	4.666724866
ITGB8	3.330106097	0.306381277	1.718691418	1.057045026	0.214514159
SLC37A1	7.803992656	4.016915998	3.218628297	10.23610204	10.79722791
KRT19P2	0	0.038721124	0.035999457	0	0
LOC399886	0	0	0	0	0
KCNA10	0	0	0	0	0
AICDA	0.027140028	0.006289852	0	0	0.005298053
MAT1A	0.316170289	0.546901773	0.246825546	0.02040714	2.862384303
EHD2	28.45049036	48.69504601	42.90423182	11.54584807	24.99704506
CFAP69	2.051781928	0.407336565	0.275059644	0.733330662	0.991397914
RAN	50.29718722	37.31785446	57.89014118	45.89541515	59.78518789
CFAP61	0.63504032	0.090980363	0.097024486	0.298247484	2.413982293
CFAP65	0.176813964	0.009313095	0	0.028634793	0.003137833
FGR	3.514032023	2.75789367	1.730336597	1.436033539	0.888354131
USP35	2.50731742	2.134138467	1.998055857	2.223239571	2.522978712
MIR5692B	0.194347554	0.225205618	0	0	0.189694649
FGG	0.004696733	0.021769876	0.035419466	0.00522933	0.119191471
FGA	0	0	0.004604582	0	0
RAX	0.004539124	0	0	0.005053849	0
EXT2	14.87387494	14.77806423	17.89869032	17.80702502	16.85310999
EXT1	10.23227615	6.142635398	2.741658109	4.24225837	3.286810138
LY96	9.220142519	8.876514681	8.762754163	4.248938053	2.718852471
ALDH5A1	1.257789228	4.283838848	8.268785333	1.877447666	4.919666356
BSPH1	0	0	0	0	0
SPTY2D1	9.015849371	6.470058023	7.941510198	13.58389139	12.29856276
TCTA	15.32020472	17.10365754	48.15529555	12.78111375	22.5653076
OCM	0.264191206	0.094196581	0.087575602	0.113134536	0.218194446
USP3-AS1	0.345256499	0.259508461	0.769041381	0.280513711	0.469054568
TEFM	2.160730062	1.519299687	3.480423934	2.125469483	2.871720457
PPP1R26-AS1	1.280517163	0.449330249	0.4906102	1.275119749	1.742762683
CASD1	17.86415726	10.03991511	14.0376164	15.72906175	7.57385848
RUNX3	2.818662578	3.682059574	0.998783963	3.483753304	0.751648796
CEL	0.290107762	0.11692884	0.067943772	0.098305937	0.492456083
TMED5	5.16416286	10.83919443	10.55286472	6.478974653	5.086063226
TSIX	0.016895908	0.027515873	0.015742653	0.03355629	0.005348562
UHRF1BP1L	9.154369046	6.790582519	6.258213955	10.44854216	4.577358268
BFSP1	1.090177723	0.321891849	0.440429811	0.414326307	0.56784911
RNASEH2A	23.03633296	14.81718219	35.01993283	10.99621086	12.65074454
RNASEH2C	3.457567572	4.207939865	9.341902921	2.907603487	4.981831998
RNASEH2B	3.790906565	2.327503631	2.06340825	2.490484374	2.115477224
MAOB	6.141006242	12.98511757	76.28425658	103.53096	2.192085385
MAOA	1.232637407	21.73364579	61.31990438	1.110191989	1.331499961
NEIL1	1.949638188	2.578308943	1.491284513	1.638895136	3.449117904
NEIL3	1.194262106	0.734981633	1.274300483	2.035886378	1.383187481
NEIL2	6.081341026	9.234901834	16.49532116	4.294045352	36.75163405
BAIAP2L1	8.774804209	5.427042346	18.45490632	13.15986209	7.071917742
TRPC7-AS2	0	0	0	0	0.02337597
CLYBL	0.991987348	0.44461516	0.36043292	0.296958199	0.239775927
AHI1	2.134652805	1.836622313	1.577789414	4.08085955	2.3148413
UTAT33	0.44422298	0.514755698	0.119643516	0.401859818	0.216793885
MESP1	3.911234267	0.909758449	0.084581249	0.381438653	0.188093175
MESP2	1.65952973	0.19779697	0.08173068	0.707411284	0.240655803
SNCAIP	1.121829798	0.936178986	0.392912572	0.182473265	0.202772574
C1QBP	20.33333192	22.61363393	40.4724551	36.62725527	27.31018026
HNRNPL	40.21438673	26.94919842	27.12463297	30.94726658	33.12542467
TAAR5	0	0	0	0	0
TAAR6	0.016289246	0	0	0	0
TAAR1	0	0	0	0	0
TAAR2	0	0	0	0	0
TAAR9	0	0	0	0	0
TAAR8	0	0	0	0	0
RCE1	5.430959658	4.226045457	7.675540996	2.595982427	18.9996134
UVSSA	2.744619344	2.249553896	1.333028171	1.553171022	6.365309346
SPANXA1	0	0	0.022712874	0	0
SPANXA2	0	0	0	0	0
SCN9A	0.089729163	0.253323726	0.029879133	0.063575409	0.054140947
VSTM5	0.070286255	0.127259605	0.269757428	0.053801365	0.038589481
VSTM4	7.77156089	6.238949522	1.989740406	2.062898779	1.210086185
PATJ	25.3342641	15.32343452	15.74841515	7.753455234	4.501067873
VSTM1	0.19784616	0.017635363	0.032791585	0.271115562	0
RAD54B	1.109025448	0.428371332	1.049387608	0.891789903	0.999427145
RAD54L	4.574488828	2.494860369	6.442423381	2.572986497	1.39241306
ABCB1	0.570791335	2.011257614	0.577280994	0.625790262	0.613975517
ABCB7	8.68183896	8.866276938	9.653721066	11.97358032	5.812320702
ABCB6	0.613959045	1.818129736	1.025400097	0.35444909	1.410956456
ABCB5	0.029224565	0.209538294	0.049194462	0.020336596	0.016045253
ABCB4	0.194036349	0.379099129	0.213902298	0.371789012	0.273075244
ABCB9	1.759392975	1.071704923	0.62770312	0.403678598	1.870000177
ABCB8	5.531036458	7.294867327	6.881626286	3.730434412	7.44386918
CH17-340M24.3	8.029998932	7.830602702	8.864174	4.690656255	17.77292946
GOLGB1	29.86338125	24.7070208	28.42052306	38.03196939	23.83504876
SLF2	7.618058021	5.102605355	5.996765978	9.912761096	4.955910348
SLF1	3.3769409	1.917021685	2.715245895	2.732788738	1.798495367
DNLZ	0.075291133	0.024927339	0.005793806	0.035926692	0.225714912
PMAIP1	19.47284229	8.845290724	4.34406334	2.392155107	14.76078996
IST1	14.89813674	14.28177519	16.75958735	13.81411241	17.51824984
ERICH3-AS1	0.012592245	0	0	0	0.003072693
SNRNP200	48.54889411	34.88559931	32.77530139	50.02926412	24.82765448
GADD45A	6.341610468	14.35612343	11.51578958	2.065446213	4.873658037
GADD45B	44.65894079	25.57705919	29.99034281	13.7273573	38.81163174
GADD45G	10.28307315	3.779263719	6.668994726	22.11508047	36.15275817
ZYG11B	6.074012993	9.065116748	5.203858083	6.163439266	3.37396392
ZYG11A	4.581865723	1.381603362	0.465676828	0.352929621	0.502767604
SPEF1	5.533604898	0.458015582	0.283881433	0.635669166	2.889172689
SPEF2	2.973450995	0.51854626	1.035165149	0.899106082	1.215003977
OSTN-AS1	0	0.076088888	0	0	0.032045504
ZNF273	1.694341383	1.089248671	1.014791907	0.879049594	1.909377939
ZNF277	4.759917295	4.925068452	2.446007952	4.896340974	4.107357016
ZNF276	2.171867278	1.841367492	1.424981335	1.366230148	2.013210133
ZNF274	5.734150761	3.811361178	2.428617637	1.850252686	33.91393404
KCNV2	0.023204351	0.01792579	0	0.051671327	0.022648812
KCNV1	0	0.002807406	0	0	0.004729455
GACAT3	0.127129603	0	0	0.594492216	0.521161089
ARHGEF37	9.470391302	5.472318858	3.157985428	3.447585871	17.04900258
MAP3K20	11.36119829	7.90871733	5.777971555	4.881364573	3.01628102
NBPF25P	0.379960386	0.363494931	0.161832939	0.516510744	0.310490537
ITGA10	1.163778984	1.460166236	0.242107741	0.455746011	0.519649282
ARHGEF35	3.115956504	1.370132082	2.727488275	5.807976198	3.937471003
CTXN1	17.75763058	2.875879278	12.08185859	16.87505509	37.46305539
CTXN2	0.005978867	0.006928178	0.019323612	0.013313711	0.005835726
CTXN3	0.008032417	0.027923357	0.008653551	0	0.023520334
CCKBR	0.006368451	0.014759238	0	0.007090617	0
MAML2	2.792273239	4.597121742	1.952508461	1.835157081	0.868235265
MAML3	3.899118587	2.523157239	2.002898485	4.131856555	2.880804881
MAML1	11.81204072	6.477200085	6.117348335	9.118698663	8.251717248
LOC101929066	0.267360348	0.224346055	0.357560583	0.133442001	0.980847525
B3GNT6	0	0	0	0.014337842	0
STX18-IT1	0	0	0	0	0
HERC1	7.671320654	8.478034729	6.703916716	7.163503962	5.231781322
HERC2	3.497819277	5.787763018	4.243999305	5.860964398	4.351856872
HERC5	2.547233382	4.246633256	0.504506029	0.560896629	0.50556052
HERC4	3.487917421	2.753414734	2.083997596	4.80767022	2.175533203
MIR4489	0	0.948043005	0	0	0.532368855
HERC6	6.167289	4.207414747	0.399343537	1.264138319	0.863203979
MIR4487	0	0	0	0	0
MIR4486	0	0	0	0	0
MIR4485	0.402268114	0.180441032	0.293576539	0.288957588	0.202651536
MIR4484	0.203713701	0	0.219466569	0	0
MIR4482	1.449277473	0.559796822	0.520449293	3.496180415	0.23576335
MIR4480	0	0	0	0	0
PEX5L	0.074332813	0.088049324	3.826085318	0.047818021	2.208841858
C17orf58	13.7331173	15.01897809	9.066274218	16.60133087	53.51370512
SLCO2B1	5.759679676	6.350511238	3.8522097	3.370091047	3.104259199
PRR30	0	0	0	0	0
C17orf50	0.159061498	0.018431692	0	0	0.046576015
PRR32	0	0	0	0	0
PRR34	0.234086351	0.848538314	0.213389753	0.200485483	0.298784224
PRR35	0	0.008841556	0	0	0.044684389
PRR36	17.96689926	1.455396361	11.45841066	13.88682764	17.80341329
LINC01909	0.487737611	0.5840188	0.542968734	0.77836561	0.333242427
MKNK2	38.15607174	39.51976855	23.91315475	58.35174717	50.4554341
LCLAT1	3.952078321	2.794143509	2.323916526	5.557267157	1.767362614
LINC01900	0	0	0.038148116	0	0
LINC01907	0.032403674	0.007509731	0.062836921	0	0.025302314
LINC01904	0	0	0	0	0
LOC151174	0.046547109	0.256204327	0.056414841	0.006478179	0.073828165
LINC00052	0.008600324	0	0.009265374	0	0.016788845
LINC00051	0	0	0	0	0.015777662
ABCC6P1	0	0.062816023	0	0	0.014430284
